Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
BYD HAN ,475 km,"85,4 kWh",180 Wh/km,0 kg,85 kW,2.325 kg,"3,9 sec",473 km,€146 /km,410 L,"€69,020","€69,990",N/A
Tesla Model Y Performance,430 km,"75,0 kWh",174 Wh/km,1.600 kg,124 kW,2.072 kg,"3,8 sec",506 km,€146 /km,971 L,"€60,970","€58,990","£59,990"
Kia EV3 Standard Range,325 km,"55,0 kWh",169 Wh/km,300 kg,80 kW,1.800 kg,"7,5 sec",341 km,€114 /km,485 L,"€35,990","€36,995","£32,995"
Citroen e-C3 ,260 km,"44,0 kWh",169 Wh/km,550 kg,60 kW,1.491 kg,"11,5 sec",272 km,€93 /km,310 L,"€23,300","€24,290","£21,990"
Hyundai IONIQ 5 84 kWh RWD,450 km,"80,0 kWh",178 Wh/km,1.600 kg,205 kW,2.060 kg,"7,5 sec",560 km,€110 /km,577 L,"€51,650","€46,995","£43,400"
Tesla Model Y Long Range RWD,455 km,"75,0 kWh",165 Wh/km,1.600 kg,124 kW,1.959 kg,"5,9 sec",535 km,€113 /km,971 L,"€49,970","€49,990","£46,990"
Hyundai INSTER Long Range,295 km,"46,0 kWh",156 Wh/km,unknown,70 kW,1.418 kg,"10,6 sec",311 km,€91 /km,280 L,"€25,400","€25,995","£25,045"
BMW i3 120 Ah,235 km,"37,9 kWh",161 Wh/km,0 kg,47 kW,1.345 kg,"7,3 sec",222 km,€167 /km,260 L,"€39,000","€39,939","£33,805"
Renault Megane E-Tech EV60 220hp,380 km,"60,0 kWh",158 Wh/km,900 kg,87 kW,1.711 kg,"7,4 sec",410 km,€116 /km,440 L,"€46,600","€42,990","£36,995"
Hyundai Kona Electric 65 kWh,390 km,"65,4 kWh",168 Wh/km,750 kg,86 kW,1.773 kg,"7,8 sec",391 km,€116 /km,493 L,"€47,190","€43,995","£38,595"
Mercedes-Benz EQC 400 4MATIC,370 km,"80,0 kWh",216 Wh/km,1.800 kg,100 kW,2.495 kg,"5,1 sec",366 km,€202 /km,500 L,"€66,069","€73,216","£74,330"
Tesla Model S Plaid,560 km,"95,0 kWh",170 Wh/km,1.600 kg,140 kW,2.265 kg,"2,3 sec",636 km,€198 /km,798 L,"€108,970","€108,990","* £100,000"
Tesla Model Y Long Range AWD Launch Series,450 km,"75,0 kWh",167 Wh/km,1.600 kg,124 kW,2.072 kg,"4,3 sec",531 km,€144 /km,971 L,"€61,970","€61,990","£60,990"
Nissan Leaf ,235 km,"39,0 kWh",166 Wh/km,0 kg,40 kW,1.580 kg,"7,9 sec",218 km,€136 /km,435 L,"€29,990","€33,340","£28,290"
Mercedes-Benz EQB 250+,415 km,"70,5 kWh",170 Wh/km,1.400 kg,90 kW,2.105 kg,"8,9 sec",414 km,€136 /km,495 L,"€53,514","€54,966","£52,800"
Tesla Model 3 Long Range Dual Motor,485 km,"75,0 kWh",155 Wh/km,1.000 kg,124 kW,1.919 kg,"4,4 sec",577 km,€112 /km,649 L,"€53,668","€50,993","£50,990"
BMW iX3 ,385 km,"74,0 kWh",192 Wh/km,750 kg,104 kW,2.255 kg,"6,8 sec",411 km,€184 /km,510 L,"€67,300","€71,462","£64,165"
Tesla Model S Dual Motor,575 km,"95,0 kWh",165 Wh/km,1.600 kg,140 kW,2.170 kg,"3,2 sec",653 km,€166 /km,798 L,"€93,970","€93,990","* £85,000"
Leapmotor T03 ,230 km,"36,0 kWh",157 Wh/km,unknown,30 kW,1.175 kg,"12,7 sec",215 km,€83 /km,210 L,"€18,900","€19,950","£15,995"
Volkswagen ID.7 Pro,475 km,"77,0 kWh",162 Wh/km,1.000 kg,125 kW,2.172 kg,"6,5 sec",541 km,€120 /km,532 L,"€53,995","€57,990","£51,550"
XPENG G6 RWD Long Range,480 km,"87,5 kWh",182 Wh/km,unknown,180 kW,2.100 kg,"6,7 sec",574 km,€104 /km,571 L,"€47,600","€49,990","£44,990"
Kia EV6 Long Range 2WD,410 km,"74,0 kWh",180 Wh/km,1.600 kg,200 kW,1.985 kg,"7,3 sec",514 km,€126 /km,532 L,"€51,990","€50,995","£45,245"
Skoda Enyaq iV 80,440 km,"77,0 kWh",175 Wh/km,1.000 kg,125 kW,2.075 kg,"8,6 sec",468 km,€112 /km,585 L,"€48,900","€48,990","£42,925"
Polestar 2 Long Range Single Motor,420 km,"75,0 kWh",179 Wh/km,1.500 kg,108 kW,2.069 kg,"7,4 sec",451 km,€124 /km,440 L,"€50,995","€52,200","£46,450"
Renault Zoe ZE50 R110,315 km,"52,0 kWh",165 Wh/km,0 kg,41 kW,1.577 kg,"11,4 sec",274 km,€111 /km,338 L,"€36,840","€34,895","£29,095"
Tesla Model 3 Performance,490 km,"75,0 kWh",153 Wh/km,0 kg,124 kW,1.929 kg,"3,2 sec",585 km,€126 /km,682 L,"€58,470","€58,490","£59,990"
Hyundai Kona Electric 64 kWh,390 km,"64,0 kWh",164 Wh/km,300 kg,64 kW,1.760 kg,"7,9 sec",363 km,€110 /km,332 L,"€42,900","€41,995","£37,750"
Hyundai IONIQ Electric,250 km,"38,3 kWh",153 Wh/km,0 kg,36 kW,1.602 kg,"9,7 sec",230 km,€146 /km,357 L,"€35,350","€37,015","£32,050"
Audi A6 Sportback e-tron performance,600 km,"94,9 kWh",158 Wh/km,2.100 kg,200 kW,2.250 kg,"5,4 sec",730 km,€129 /km,529 L,"€75,600","€75,990","£69,900"
Skoda Enyaq 85,460 km,"77,0 kWh",167 Wh/km,1.000 kg,120 kW,2.141 kg,"6,7 sec",482 km,€106 /km,585 L,"€48,900","€45,990","£44,300"
KGM Torres EVX ,370 km,"72,0 kWh",195 Wh/km,1.500 kg,85 kW,1.979 kg,"8,1 sec",368 km,€123 /km,839 L,"€43,990","€41,250","£44,495"
Audi A6 Avant e-tron performance,565 km,"94,9 kWh",168 Wh/km,2.100 kg,200 kW,2.260 kg,"5,4 sec",685 km,€140 /km,529 L,"€77,250","€77,490","£71,700"
BYD TANG ,355 km,"86,4 kWh",243 Wh/km,1.500 kg,109 kW,2.705 kg,"4,6 sec",342 km,€199 /km,235 L,"€71,400","€69,990",N/A
Zeekr 7X Performance AWD,475 km,"94,0 kWh",198 Wh/km,2.000 kg,260 kW,2.100 kg,"3,8 sec",603 km,€135 /km,581 L,N/A,"€63,990",N/A
Fiat 500e Hatchback 42 kWh,235 km,"37,3 kWh",159 Wh/km,0 kg,67 kW,1.365 kg,"9,0 sec",261 km,€144 /km,185 L,"€34,990","€34,490","£27,995"
MG ZS EV Long Range,370 km,"68,3 kWh",185 Wh/km,500 kg,82 kW,1.695 kg,"8,4 sec",352 km,€105 /km,448 L,"€37,990","€40,185","£32,995"
Mini Cooper SE ,180 km,"28,9 kWh",161 Wh/km,0 kg,44 kW,1.440 kg,"7,3 sec",183 km,€207 /km,211 L,"€35,700","€38,690","£32,550"
Audi e-tron 50 quattro,280 km,"64,7 kWh",231 Wh/km,1.800 kg,114 kW,2.445 kg,"6,8 sec",299 km,€240 /km,660 L,"€69,100","€62,700","£60,600"
Mercedes-Benz EQA 250,395 km,"66,5 kWh",168 Wh/km,1.500 kg,100 kW,2.045 kg,"8,6 sec",405 km,€129 /km,340 L,"€50,777",N/A,N/A
Tesla Model 3 Long Range Dual Motor,465 km,"72,0 kWh",155 Wh/km,1.000 kg,108 kW,1.919 kg,"4,4 sec",534 km,€121 /km,649 L,"€53,560","€57,990","£49,990"
Audi Q4 e-tron 40,405 km,"76,6 kWh",189 Wh/km,1.000 kg,125 kW,2.125 kg,"8,5 sec",430 km,€140 /km,520 L,"€51,900","€59,415","£50,630"
BMW i4 eDrive40,515 km,"81,3 kWh",158 Wh/km,1.600 kg,131 kW,2.125 kg,"5,6 sec",589 km,€124 /km,470 L,"€60,500","€63,358","£59,365"
BYD TANG Flagship,460 km,"108,8 kWh",237 Wh/km,1.500 kg,100 kW,2.705 kg,"4,9 sec",444 km,€149 /km,235 L,"€69,615","€67,390",N/A
Hyundai IONIQ 6 Long Range 2WD,495 km,"74,0 kWh",149 Wh/km,1.500 kg,200 kW,1.985 kg,"7,4 sec",637 km,€107 /km,446 L,"€54,000","€50,895","£47,040"
Volkswagen ID.3 Pro,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.815 kg,"7,3 sec",378 km,€125 /km,385 L,"€39,995","€39,990","£44,990"
CUPRA Born 150 kW - 58 kWh,350 km,"58,0 kWh",166 Wh/km,0 kg,82 kW,1.811 kg,"7,3 sec",375 km,€110 /km,385 L,"€39,370","€36,939","£34,125"
Kia EV9 99.8 kWh AWD,435 km,"96,0 kWh",221 Wh/km,2.500 kg,194 kW,2.625 kg,"6,0 sec",485 km,€171 /km,385 L,"€76,490","€72,295",N/A
Hyundai INSTER Standard Range,250 km,"39,0 kWh",156 Wh/km,unknown,60 kW,1.388 kg,"11,7 sec",262 km,€100 /km,280 L,"€23,900","€24,295","£23,495"
Peugeot e-3008 97 kWh Long Range,500 km,"96,9 kWh",194 Wh/km,1.200 kg,135 kW,2.241 kg,"8,7 sec",512 km,€106 /km,588 L,"€52,750","€49,915","£48,650"
DS N°8 AWD Long Range,535 km,"97,2 kWh",182 Wh/km,1.600 kg,130 kW,2.289 kg,"5,4 sec",578 km,€138 /km,620 L,"€75,000","€73,600","£63,290"
Audi Q4 e-tron 45,420 km,"77,0 kWh",183 Wh/km,1.000 kg,120 kW,2.145 kg,"6,7 sec",460 km,€132 /km,520 L,"€52,950","€54,865","£50,745"
BMW iX1 eDrive20,390 km,"64,7 kWh",166 Wh/km,750 kg,93 kW,1.940 kg,"8,3 sec",418 km,€127 /km,490 L,"€47,900","€48,316","£45,465"
Kia EV6 Long Range 2WD,460 km,"80,0 kWh",174 Wh/km,1.800 kg,205 kW,1.950 kg,"7,3 sec",577 km,€110 /km,542 L,"€49,990","€49,495","£45,575"
BMW iX xDrive50,505 km,"105,2 kWh",208 Wh/km,2.500 kg,149 kW,2.585 kg,"4,6 sec",538 km,€213 /km,500 L,"€100,100","€105,097","£102,755"
BYD SEAL U 87 kWh Design,425 km,"87,0 kWh",205 Wh/km,1.300 kg,85 kW,2.222 kg,"9,6 sec",418 km,€107 /km,552 L,"€44,990","€45,990",N/A
Mazda 6e ,390 km,"66,0 kWh",169 Wh/km,1.500 kg,126 kW,2.027 kg,"7,6 sec",459 km,€114 /km,400 L,"* €45,000","* €45,000","* £38,000"
Audi Q6 e-tron quattro,480 km,"94,9 kWh",198 Wh/km,2.400 kg,200 kW,2.400 kg,"5,9 sec",567 km,€161 /km,590 L,"€74,700","€77,950","£68,975"
Nissan Ariya 87kWh,450 km,"87,0 kWh",193 Wh/km,750 kg,110 kW,2.121 kg,"7,6 sec",445 km,€111 /km,468 L,"€53,490","€44,990","£44,645"
Volkswagen ID.4 Pro Performance,410 km,"77,0 kWh",188 Wh/km,1.000 kg,125 kW,2.109 kg,"8,5 sec",436 km,€124 /km,543 L,"€46,335","€53,690","£46,035"
Lynk&Co 02 ,375 km,"66,0 kWh",176 Wh/km,1.600 kg,90 kW,1.820 kg,"5,5 sec",405 km,€93 /km,425 L,"€35,995","€33,995",N/A
Dacia Spring Electric 45,165 km,"25,0 kWh",152 Wh/km,0 kg,29 kW,1.012 kg,"19,1 sec",151 km,€134 /km,300 L,"€22,550","€21,750",N/A
BMW i5 eDrive40 Sedan,470 km,"81,2 kWh",173 Wh/km,1.500 kg,136 kW,2.205 kg,"6,0 sec",535 km,€166 /km,490 L,"€70,200","€78,608","£74,105"
Hyundai Kona Electric 64 kWh,390 km,"64,0 kWh",164 Wh/km,0 kg,64 kW,1.760 kg,"7,9 sec",363 km,€110 /km,361 L,"€41,850","€41,595","£39,150"
Skoda Elroq 60,350 km,"59,0 kWh",169 Wh/km,1.000 kg,105 kW,2.000 kg,"8,5 sec",395 km,€109 /km,470 L,"€38,400","€37,990","£33,350"
Mazda MX-30 ,170 km,"30,0 kWh",176 Wh/km,0 kg,32 kW,1.720 kg,"9,7 sec",167 km,€212 /km,366 L,"€35,990","€36,440","£31,250"
Kia e-Niro 64 kWh,375 km,"64,0 kWh",171 Wh/km,300 kg,64 kW,1.812 kg,"7,8 sec",349 km,€108 /km,451 L,"€42,790","€38,995","£34,995"
CUPRA Born 170 kW - 77 kWh,460 km,"77,0 kWh",167 Wh/km,0 kg,125 kW,1.969 kg,"7,0 sec",512 km,€99 /km,385 L,"€47,250","€41,990","£41,795"
XPENG G6 RWD Standard Range,370 km,"66,0 kWh",178 Wh/km,unknown,140 kW,2.100 kg,"6,9 sec",443 km,€121 /km,571 L,"€43,600","€44,990","£39,990"
BYD SEAL 82.5 kWh RWD Design,480 km,"82,5 kWh",172 Wh/km,750 kg,100 kW,2.130 kg,"5,9 sec",507 km,€102 /km,453 L,"€44,990","€48,690","£45,695"
Tesla Model S 75D,380 km,"72,5 kWh",191 Wh/km,0 kg,80 kW,2.183 kg,"4,4 sec",386 km,€216 /km,804 L,"€71,019","€91,720","£72,350"
Nissan Leaf ,235 km,"39,0 kWh",166 Wh/km,0 kg,40 kW,1.580 kg,"7,9 sec",218 km,€134 /km,435 L,"€35,900","€25,700","£28,495"
BMW iX xDrive60,525 km,"109,1 kWh",208 Wh/km,2.500 kg,150 kW,2.580 kg,"4,6 sec",554 km,€195 /km,500 L,"€99,900","€99,900","£93,105"
MG MG4 Electric 51 kWh,300 km,"50,8 kWh",169 Wh/km,500 kg,68 kW,1.710 kg,"7,7 sec",306 km,€109 /km,363 L,"€34,990","€32,285","£26,995"
Ford Explorer Extended Range RWD,430 km,"77,0 kWh",179 Wh/km,1.000 kg,120 kW,2.190 kg,"6,4 sec",450 km,€114 /km,536 L,"€48,510","€45,950","£45,875"
Opel Corsa-e ,295 km,"46,3 kWh",157 Wh/km,0 kg,78 kW,1.530 kg,"8,1 sec",321 km,€127 /km,309 L,"€36,395","€36,999","£33,930"
Rolls-Royce Spectre ,465 km,"102,0 kWh",219 Wh/km,unknown,126 kW,2.965 kg,"4,5 sec",494 km,€828 /km,380 L,"€379,015","€396,275","£330,000"
Tesla Model S 100D,485 km,"95,0 kWh",196 Wh/km,0 kg,100 kW,2.290 kg,"4,3 sec",486 km,€223 /km,895 L,"€108,420","€113,320","£89,650"
Hyundai IONIQ 5 Long Range 2WD,390 km,"74,0 kWh",190 Wh/km,1.600 kg,200 kW,2.010 kg,"7,3 sec",492 km,€132 /km,584 L,"€47,900","€52,895","£46,945"
BMW i4 M50,450 km,"80,7 kWh",179 Wh/km,1.600 kg,131 kW,2.290 kg,"3,9 sec",510 km,€170 /km,470 L,"€70,800","€76,786","£71,085"
Tesla Model 3 Standard Range Plus LFP,350 km,"52,5 kWh",150 Wh/km,1.000 kg,95 kW,1.825 kg,"5,6 sec",412 km,€136 /km,649 L,"€45,560","€49,990","£40,990"
Mini Countryman E,380 km,"64,6 kWh",170 Wh/km,750 kg,93 kW,1.940 kg,"8,6 sec",405 km,€119 /km,460 L,"€43,500","€43,490","£42,080"
Tesla Model 3 Performance,470 km,"76,0 kWh",162 Wh/km,0 kg,135 kW,1.919 kg,"3,4 sec",555 km,€137 /km,649 L,"€59,560","€64,990","£59,990"
Skoda Enyaq 85,450 km,"77,0 kWh",171 Wh/km,1.000 kg,120 kW,2.137 kg,"6,7 sec",467 km,€112 /km,585 L,"€48,900","€50,990","£44,540"
BYD SEALION 7 82.5 kWh RWD Comfort,425 km,"82,5 kWh",194 Wh/km,750 kg,115 kW,2.200 kg,"6,7 sec",445 km,€120 /km,578 L,"€47,990","€50,690","£46,990"
Ford Capri Extended Range RWD,450 km,"77,0 kWh",171 Wh/km,1.000 kg,120 kW,2.098 kg,"6,4 sec",467 km,€114 /km,572 L,"€50,911","€47,850","£48,075"
Tesla Model Y Long Range AWD,450 km,"75,0 kWh",167 Wh/km,1.600 kg,124 kW,2.067 kg,"5,0 sec",531 km,€125 /km,971 L,"* €55,970","* €52,990","* £51,990"
Zeekr 001 Performance AWD,480 km,"94,0 kWh",196 Wh/km,2.000 kg,135 kW,2.410 kg,"3,8 sec",524 km,€134 /km,539 L,"€63,970","€64,490",N/A
MG ZS EV,220 km,"42,5 kWh",193 Wh/km,0 kg,53 kW,1.566 kg,"8,2 sec",222 km,€141 /km,448 L,"€31,990","€30,985","£26,095"
Toyota PROACE Verso L 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.240 kg,"13,3 sec",246 km,€232 /km,989 L,"€65,840","€61,560","£46,477"
Citroen e-C4 ,290 km,"46,3 kWh",160 Wh/km,0 kg,78 kW,1.636 kg,"9,7 sec",318 km,€125 /km,380 L,"€34,875","€37,205","£31,960"
Hyundai IONIQ Electric,190 km,"28,0 kWh",147 Wh/km,0 kg,65 kW,1.495 kg,"9,9 sec",225 km,€173 /km,350 L,"€33,300","€33,995","£27,250"
Volkswagen ID.7 Tourer Pro S,520 km,"86,0 kWh",165 Wh/km,1.000 kg,145 kW,2.239 kg,"6,7 sec",589 km,€119 /km,605 L,"€59,785","€61,990","£56,140"
Audi Q8 e-tron 55 quattro,505 km,"106,0 kWh",210 Wh/km,1.800 kg,144 kW,2.585 kg,"5,6 sec",515 km,€171 /km,631 L,"€87,300","€78,990","£80,715"
Jeep Avenger Electric ,310 km,"50,8 kWh",164 Wh/km,0 kg,85 kW,1.595 kg,"9,0 sec",327 km,€127 /km,355 L,"€38,500","€39,500","£34,800"
Opel Grandland 73 kWh,365 km,"73,0 kWh",200 Wh/km,1.200 kg,90 kW,2.232 kg,"9,0 sec",381 km,€128 /km,550 L,"€46,750","€45,999","£40,995"
MG MG5 Electric Long Range,335 km,"57,4 kWh",171 Wh/km,500 kg,60 kW,1.637 kg,"7,7 sec",325 km,€112 /km,479 L,"€38,490","€38,885","£30,995"
Honda e:Ny1 ,335 km,"61,9 kWh",185 Wh/km,0 kg,60 kW,1.730 kg,"7,6 sec",318 km,€130 /km,361 L,"€38,990","€46,149","£39,995"
Smart EQ fortwo coupe,100 km,"16,7 kWh",167 Wh/km,0 kg,0 kW,1.095 kg,"11,6 sec",71 km,€241 /km,260 L,"€21,940","€24,885","£22,225"
XPENG G9 RWD Long Range,480 km,"93,1 kWh",194 Wh/km,1.500 kg,224 kW,2.285 kg,"6,4 sec",592 km,€130 /km,731 L,"€61,600","€63,188",N/A
Peugeot e-3008 73 kWh,380 km,"73,0 kWh",192 Wh/km,1.250 kg,90 kW,2.183 kg,"8,8 sec",397 km,€129 /km,588 L,"€48,650","€45,415","£45,950"
BYD SEAL U 71.8 kWh Comfort,360 km,"71,8 kWh",199 Wh/km,1.300 kg,72 kW,2.095 kg,"9,3 sec",352 km,€118 /km,552 L,"€41,990","€42,990",N/A
Peugeot e-208 ,285 km,"46,3 kWh",162 Wh/km,0 kg,78 kW,1.530 kg,"9,0 sec",311 km,€129 /km,265 L,"€39,100","€34,920","£31,595"
Zeekr X Privilege AWD,345 km,"64,0 kWh",186 Wh/km,1.600 kg,114 kW,2.035 kg,"3,8 sec",389 km,€143 /km,362 L,"€50,470","€48,490",N/A
Ford Capri Standard Range RWD,310 km,"52,0 kWh",168 Wh/km,1.000 kg,85 kW,1.914 kg,"9,0 sec",348 km,€147 /km,572 L,"€44,950","€43,350","£42,075"
Leapmotor C10 ,355 km,"69,9 kWh",197 Wh/km,1.500 kg,70 kW,1.980 kg,"7,5 sec",329 km,€110 /km,435 L,"€36,400","€39,050","£36,500"
BMW iX xDrive45,470 km,"94,8 kWh",202 Wh/km,2.500 kg,115 kW,2.525 kg,"5,1 sec",490 km,€182 /km,500 L,"€83,500","€86,403","£75,305"
Volvo EX40 Single Motor ER,400 km,"79,0 kWh",198 Wh/km,1.500 kg,125 kW,2.075 kg,"7,3 sec",441 km,€135 /km,441 L,"€55,490","€51,995","£47,705"
NIO ET5 Long Range,500 km,"90,0 kWh",180 Wh/km,1.400 kg,100 kW,2.235 kg,"4,0 sec",494 km,€140 /km,386 L,"€68,500","€71,700",N/A
BMW i7 xDrive60,510 km,"101,7 kWh",199 Wh/km,2.000 kg,159 kW,2.715 kg,"4,7 sec",564 km,€272 /km,500 L,"€139,900","€145,453","£113,970"
Mercedes-Benz EQS SUV 450 4MATIC,530 km,"118,0 kWh",223 Wh/km,1.800 kg,160 kW,2.840 kg,"6,1 sec",543 km,€247 /km,645 L,"€114,609","€129,660","£129,470"
Peugeot e-5008 97 kWh Long Range,485 km,"96,9 kWh",200 Wh/km,1.000 kg,135 kW,2.316 kg,"9,6 sec",496 km,€115 /km,348 L,"€55,250","€52,915","£51,350"
Dongfeng Box 42.3 kWh,255 km,"40,0 kWh",157 Wh/km,unknown,53 kW,1.430 kg,"12,5 sec",253 km,€92 /km,326 L,N/A,"€23,400",N/A
Dacia Spring Electric 45,165 km,"25,0 kWh",152 Wh/km,0 kg,29 kW,1.020 kg,"19,1 sec",151 km,€107 /km,343 L,"€16,900","€18,950","£14,995"
DS N°8 FWD Long Range,555 km,"97,2 kWh",175 Wh/km,1.400 kg,130 kW,2.180 kg,"7,8 sec",593 km,€113 /km,620 L,"€63,200","€62,200","£54,690"
Polestar 2 Long Range Dual Motor,390 km,"75,0 kWh",192 Wh/km,1.500 kg,108 kW,2.188 kg,"4,7 sec",419 km,€144 /km,440 L,"€54,995","€56,200","£49,550"
